Excluded	Comments	participant_id	Session	Dataset	Rodent.strain	Sex	Weight	Age(days)	MRI	Coil	fMRI.sequence	MRI T.E.(ms)	MRI T.R.(s)	Anethesia
		sub-23		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-24		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-25		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-26		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-27		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-28		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-29		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-30		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-31		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-32		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-33		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-34		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-35		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-36		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-37		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-38		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-39		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-40		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-41		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
y		sub-42		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-43		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-44		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-45		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-46		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-47		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-48		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-49		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-50		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-51		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-52		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-53		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-54		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-55		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-56		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-57		Envoiromental_enrichment	C57BL/6J	M	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-62		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-63		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-67		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
		sub-68		Envoiromental_enrichment	C57BL/6J	F	N/A	63	11.1	RF	SE-EPI	16	1.5	Dexiso
