participant_id	Session	Dataset	Rodent.strain	Sex	Weight	Age(days)	MRI	Coil	fMRI.sequence	MRI T.E.(ms)	MRI T.R.(s)	Anethesia	Sedation(low/hight)	Abituation(short/long)	head-plate	FD avarage	FD maximum	tSNR
sub-001		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-002		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-003		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-004		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-005		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-006		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-007		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-008		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-009		7_Cryo_mediso_v		F			7	Cryo				Mediso						
sub-010		7_Cryo_mediso_v		F			7	Cryo				Mediso						
sub-011		7_Cryo_mediso_v		F			7	Cryo				Mediso						
sub-012		7_Cryo_mediso_v		F			7	Cryo				Mediso						
sub-013		7_Cryo_mediso_v		F			7	Cryo				Mediso						
sub-014		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-015		7_Cryo_mediso_v		M			7	Cryo				Mediso						
sub-016		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-017		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-018		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-019		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-020		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-021		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-022		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-023		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-024		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-025		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-026		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-027		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-028		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-029		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-030		94_Cryo_mediso_v		M			9.4	Cryo				Mediso						
sub-031		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-032		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-033		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-034		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-035		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-036		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-037		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-038		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-039		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-040		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-041		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-042		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-043		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-044		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-045		7_Cryo_med_f1		N/A			7	Cryo				Med						
sub-046		7_RT_halo_v		M			7	RT				Hal						
sub-047		7_RT_halo_v		M			7	RT				Hal						
sub-048		7_RT_halo_v		M			7	RT				Hal						
sub-049		7_RT_halo_v		M			7	RT				Hal						
sub-050		7_RT_halo_v		M			7	RT				Hal						
sub-051		7_RT_halo_v		M			7	RT				Hal						
sub-052		7_RT_halo_v		M			7	RT				Hal						
sub-053		7_RT_halo_v		M			7	RT				Hal						
sub-054		7_RT_halo_v		M			7	RT				Hal						
sub-055		7_RT_halo_v		M			7	RT				Hal						
sub-056		7_RT_halo_v		M			7	RT				Hal						
sub-057		7_RT_halo_v		M			7	RT				Hal						
sub-058		7_RT_halo_v		M			7	RT				Hal						
sub-059		7_RT_halo_v		M			7	RT				Hal						
sub-060		7_RT_halo_v		M			7	RT				Hal						
sub-061		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-062		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-063		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-064		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-065		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-066		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-067		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-068		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-069		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-070		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-071		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-072		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-073		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-074		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-075		94_Cryo_med_f		N/A			9.4	Cryo				Med						
sub-076		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-077		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-078		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-079		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-080		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-081		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-082		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-083		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-084		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-085		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-086		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-087		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-088		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-089		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-090		94_RT_mediso_f1		N/A			9.4	RT				Mediso						
sub-091		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-092		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-093		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-094		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-095		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-096		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-097		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-098		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-099		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-100		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-101		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-102		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-103		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-104		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-105		117_Cryo_mediso_v		F			11.75	Cryo				Mediso						
sub-106		94_RT_iso_v		F			9.4	RT				Iso						
sub-107		94_RT_iso_v		F			9.4	RT				Iso						
sub-108		94_RT_iso_v		F			9.4	RT				Iso						
sub-109		94_RT_iso_v		F			9.4	RT				Iso						
sub-110		94_RT_iso_v		F			9.4	RT				Iso						
sub-111		94_RT_iso_v		F			9.4	RT				Iso						
sub-112		94_RT_iso_v		F			9.4	RT				Iso						
sub-113		94_RT_iso_v		F			9.4	RT				Iso						
sub-114		94_RT_iso_v		F			9.4	RT				Iso						
sub-115		94_RT_iso_v		F			9.4	RT				Iso						
sub-116		94_RT_iso_v		F			9.4	RT				Iso						
sub-117		94_RT_iso_v		F			9.4	RT				Iso						
sub-118		94_RT_iso_v		F			9.4	RT				Iso						
sub-119		94_RT_iso_v		F			9.4	RT				Iso						
sub-120		94_RT_iso_v		F			9.4	RT				Iso						
sub-121		47_RT_iso_f		N/A			4.7	RT				Iso						
sub-122		47_RT_iso_f		N/A			4.7	RT				Iso						
