Excluded,Comments,participant_id,Session,Dataset,Rodent.strain,Sex,Weight,Age(days),MRI,Coil,fMRI.sequence,MRI T.E.(ms),MRI T.R.(s),Anethesia,Sedation(low/hight),Abituation(short/long),head-plate,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C09S001,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C09S002,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C09S003,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C09S004,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C09S005,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C02S006,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C02S007,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C02S008,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C02S009,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C02S010,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C08S011,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C08S012,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C08S013,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C08S014,,Sex-differences,C57BL/6J,M,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C01S015,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C01S016,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C01S017,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C01S018,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C01S019,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C03S020,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C03S021,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C03S022,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C03S023,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C03S024,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C04S025,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
,data is the same BIDS_raw,sub-C04S026,,Sex-differences,C57BL/6J,F,,115,7,RF,GE-EPI,,1,Dexiso,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
