Excluded,Comments,participant_id,Session,Link to the paper,Dataset,Rodent.strain,Sex,Weight,Age(days),MRI,Coil,fMRI.sequence,MRI T.E.(ms),MRI T.R.(s),Anethesia,Ventilation(v/f),(dex)med.bolus,(dex)med.infusion,(dex)med.route,Isoflurane,Abituation(short/long),head-plate,FD avarage,FD maximum,tSNR
,"fslorient, fslchpixdim",sub-06,,DOI: 10.1126/sciadv.adq2808,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01042837781,0.02194789415,
,"fslorient, fslchpixdim",sub-07,,DOI: 10.1126/sciadv.adq2808,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01075919526,0.02273853084,
,"fslorient, fslchpixdim",sub-08,,DOI: 10.1126/sciadv.adq2809,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01015683363,0.02044985644,
,"fslorient, fslchpixdim",sub-09,,DOI: 10.1126/sciadv.adq2810,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.009435752021,0.02002973551,
,"fslorient, fslchpixdim",sub-14,,DOI: 10.1126/sciadv.adq2811,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01112574182,0.02175328937,
,"fslorient, fslchpixdim",sub-15,,DOI: 10.1126/sciadv.adq2812,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01119487044,0.02333786427,
,"fslorient, fslchpixdim",sub-16,,DOI: 10.1126/sciadv.adq2813,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.008874049048,0.01792473211,
,"fslorient, fslchpixdim",sub-17,,DOI: 10.1126/sciadv.adq2814,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.03886550218,0.06610672386,
,"fslorient, fslchpixdim",sub-18,,DOI: 10.1126/sciadv.adq2815,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.00870493779,0.01795428175,
,"fslorient, fslchpixdim",sub-19,,DOI: 10.1126/sciadv.adq2816,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01802769196,0.03417952035,
,"fslorient, fslchpixdim",sub-33,,DOI: 10.1126/sciadv.adq2817,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01165985911,0.02543689408,
,"fslorient, fslchpixdim",sub-37,,DOI: 10.1126/sciadv.adq2818,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.03045184712,0.05392973911,
,"fslorient, fslchpixdim",sub-49,,DOI: 10.1126/sciadv.adq2819,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01482927452,0.03061146656,
,"fslorient, fslchpixdim",sub-51,,DOI: 10.1126/sciadv.adq2820,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01136644799,0.02333443335,
,"fslorient, fslchpixdim",sub-54,,DOI: 10.1126/sciadv.adq2821,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01433318918,0.02866474663,
,"fslorient, fslchpixdim",sub-59,,DOI: 10.1126/sciadv.adq2822,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01569036889,0.03555196104,
,"fslorient, fslchpixdim",sub-71,,DOI: 10.1126/sciadv.adq2823,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.0138956367,0.02831483707,
,"fslorient, fslchpixdim",sub-73,,DOI: 10.1126/sciadv.adq2824,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01229509391,0.02521322895,
,"fslorient, fslchpixdim",sub-81,,DOI: 10.1126/sciadv.adq2825,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01222212445,0.0250991257,
,"fslorient, fslchpixdim",sub-82,,DOI: 10.1126/sciadv.adq2826,Resting_state_fMRI_Alvino,C57BL/6J,M,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01289735747,0.02763273058,
,"fslorient, fslchpixdim",sub-83,,DOI: 10.1126/sciadv.adq2827,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01030692416,0.02146759915,
,"fslorient, fslchpixdim",sub-84,,DOI: 10.1126/sciadv.adq2828,Resting_state_fMRI_Alvino,C57BL/6J,F,N/A,90,7,RT,EPI,15,1,Hal,v,N/A,N/A,N/A,"0,8% halothane",N/A,N/A,0.01086747227,0.0228175791,
