Excluded,Comments,participant_id,Session,Dataset,Rodent.strain,Sex,Weight,Age(days),MRI,Coil,fMRI.sequence,MRI T.E.(ms),MRI T.R.(s),Anethesia,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR194c-PND30,,Longitudinal_in_vivo_MRI,,M,"18,61",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR194c-PND90,,Longitudinal_in_vivo_MRI,,M,"29,32",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR194f-PND30,,Longitudinal_in_vivo_MRI,,F,"16,99",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR194f-PND90,,Longitudinal_in_vivo_MRI,,F,"24,67",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR202d-PND30,,Longitudinal_in_vivo_MRI,,F,"16,85",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR202d-PND90,,Longitudinal_in_vivo_MRI,,F,"23,1",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR221c-PND30,,Longitudinal_in_vivo_MRI,,M,"19,62",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR221c-PND90,,Longitudinal_in_vivo_MRI,,M,"27,33",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR221f-PND30,,Longitudinal_in_vivo_MRI,,F,"15,77",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR221f-PND90,,Longitudinal_in_vivo_MRI,,F,"21,08",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR232a-PND30,,Longitudinal_in_vivo_MRI,,M,"17,78",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR232a-PND90,,Longitudinal_in_vivo_MRI,,M,"30,74",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR232b-PND30,,Longitudinal_in_vivo_MRI,,F,"16,67",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR232b-PND90,,Longitudinal_in_vivo_MRI,,F,"25,45",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR232f-PND30,,Longitudinal_in_vivo_MRI,,F,"15,37",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sub-COMR232f-PND90,,Longitudinal_in_vivo_MRI,,F,"25,03",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
