participant_id	genotype	treatment	age	species	date	opperator
sub-395549	WT	KH176	21	mus musculus	11/23/2020	Anthea
sub-399233	WT	Saline	21	mus musculus	1/18/2021	Anthea/Lianne
sub-399241	KO	KH176	21	mus musculus	1/18/2021	Anthea/Lianne
sub-399234	WT	KH176	21	mus musculus	1/18/2021	Anthea/Lianne
sub-399235	WT	Saline	21	mus musculus	1/18/2021	Anthea/Lianne
sub-399237	WT	KH176	21	mus musculus	1/18/2021	Anthea/Lianne
sub-399434	WT	Saline	21	mus musculus	1/20/2021	Anthea/Lianne
sub-399437	KO	Saline	21	mus musculus	1/20/2021	Anthea/Lianne
sub-399438	KO	KH176	21	mus musculus	1/20/2021	Anthea/Lianne
sub-399455	WT	Saline	21	mus musculus	1/21/2021	Anthea/Lianne
sub-399454	KO	KH176	21	mus musculus	1/21/2021	Anthea/Lianne
sub-399456	WT	Saline	21	mus musculus	1/21/2021	Anthea/Lianne
sub-401181	KO	Saline	21	mus musculus	2/15/2021	Anthea/Lianne
sub-401183	KO	KH176	21	mus musculus	2/15/2021	Anthea/Lianne
sub-401184	KO	Saline	21	mus musculus	2/15/2021	Anthea/Lianne
sub-401187	KO	KH176	21	mus musculus	2/15/2021	Anthea/Lianne
sub-401188	WT	KH176	21	mus musculus	2/16/2021	Anthea/Lianne
sub-401189	WT	KH176	21	mus musculus	2/16/2021	Anthea/Lianne
sub-401593	WT	Saline	21	mus musculus	2/17/2021	Anthea/Lianne
sub-401594	WT	Saline	21	mus musculus	2/17/2021	Anthea/Lianne
sub-401595	WT	KH176	21	mus musculus	2/17/2021	Anthea/Lianne
sub-401597	WT	KH176	21	mus musculus	2/17/2021	Anthea/Lianne
sub-401598	WT	KH176	21	mus musculus	2/17/2021	Anthea/Lianne
sub-401626	WT	KH176	21	mus musculus	2/19/2021	Anthea/Lianne
sub-401625	KO	KH176	21	mus musculus	2/19/2021	Anthea/Lianne
sub-401627	WT	Saline	21	mus musculus	2/19/2021	Anthea/Lianne
sub-401632	KO	Saline	21	mus musculus	2/19/2021	Anthea/Lianne
sub-401635	WT	Saline	27	mus musculus	2/26/2021	Anthea/Lianne
sub-401631	WT	KH176	27	mus musculus	2/26/2021	Anthea/Lianne
sub-401634	WT	KH176	27	mus musculus	2/26/2021	Anthea/Lianne
sub-404640	KO	Saline	21	mus musculus	4/5/2021	Anthea/Samir
sub-404642	KO	Saline	21	mus musculus	4/5/2021	Anthea/Samir
sub-404643	KO	KH176	21	mus musculus	4/5/2021	Anthea/Samir
sub-404644	KO	KH176	21	mus musculus	4/5/2021	Anthea/Samir
sub-404646	KO	KH176	21	mus musculus	4/5/2021	Anthea/Samir
sub-404666	KO	KH176	21	mus musculus	4/5/2021	Anthea/Samir
sub-404667	KO	Saline	21	mus musculus	4/5/2021	Anthea/Samir
sub-405017	WT	Saline	27	mus musculus	4/12/2021	Anthea/Samir
sub-405020	WT	KH176	27	mus musculus	4/12/2021	Anthea/Samir
sub-405021	KO	Saline	27	mus musculus	4/12/2021	Anthea/Samir
sub-405022	KO	KH176	27	mus musculus	4/12/2021	Anthea/Samir
sub-405024	WT	Saline	27	mus musculus	4/12/2021	Anthea/Samir
sub-405030	KO	Saline	27	mus musculus	4/13/2021	Anthea/Samir
sub-405032	KO	KH176	27	mus musculus	4/13/2021	Anthea/Samir
sub-405034	WT	Saline	27	mus musculus	4/13/2021	Anthea/Samir
