subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-23_task-rest,0.126111 ,0.132673 ,0.077182 ,0.077374 ,0.072966 ,0.054900 ,0.092201 ,0.067173 ,0.095228 ,0.070689 ,0.103309 ,0.107394 ,0.072205 ,0.050809 ,0.109920 ,0.082249 ,0.090105 ,0.056431
sub-24_task-rest,0.102208 ,0.093188 ,0.078167 ,0.064911 ,0.061962 ,0.068882 ,0.059931 ,0.079160 ,0.087973 ,0.067543 ,0.098640 ,0.091803 ,0.076322 ,0.066730 ,0.110638 ,0.087479 ,0.066936 ,0.043554
sub-25_task-rest,0.108484 ,0.077409 ,0.074561 ,0.076998 ,0.083376 ,0.077969 ,0.065715 ,0.090711 ,0.103610 ,0.062206 ,0.123696 ,0.121983 ,0.079275 ,0.081578 ,0.100930 ,0.101179 ,0.075307 ,0.055016
sub-26_task-rest,0.113750 ,0.089117 ,0.078371 ,0.071432 ,0.073310 ,0.063915 ,0.064465 ,0.072492 ,0.080299 ,0.055326 ,0.083508 ,0.103722 ,0.080341 ,0.068347 ,0.095680 ,0.068817 ,0.077001 ,0.051678
sub-27_task-rest,0.111359 ,0.087589 ,0.089255 ,0.055968 ,0.087940 ,0.083471 ,0.087439 ,0.072317 ,0.096808 ,0.072942 ,0.092994 ,0.104675 ,0.079337 ,0.062924 ,0.089450 ,0.084087 ,0.086517 ,0.064838
sub-28_task-rest,0.101753 ,0.073658 ,0.081693 ,0.091740 ,0.083284 ,0.066076 ,0.072392 ,0.064597 ,0.080180 ,0.070343 ,0.100078 ,0.096477 ,0.069709 ,0.068011 ,0.072449 ,0.065834 ,0.078452 ,0.074895
sub-29_task-rest,0.102815 ,0.098935 ,0.064105 ,0.059878 ,0.077509 ,0.070544 ,0.072863 ,0.080332 ,0.104376 ,0.061864 ,0.091555 ,0.117656 ,0.068987 ,0.051478 ,0.095357 ,0.084977 ,0.098016 ,0.087851
sub-30_task-rest,0.099466 ,0.074914 ,0.065947 ,0.060391 ,0.067235 ,0.077572 ,0.068380 ,0.066508 ,0.074666 ,0.051057 ,0.080726 ,0.085735 ,0.076373 ,0.064229 ,0.085192 ,0.073251 ,0.061035 ,0.057934
sub-31_task-rest,0.108232 ,0.063203 ,0.082741 ,0.066949 ,0.064416 ,0.060690 ,0.073375 ,0.072832 ,0.063633 ,0.039205 ,0.109580 ,0.095757 ,0.064455 ,0.053072 ,0.085620 ,0.082900 ,0.077017 ,0.047047
sub-32_task-rest,0.088939 ,0.076194 ,0.069199 ,0.059456 ,0.064438 ,0.060089 ,0.084783 ,0.072086 ,0.077953 ,0.048710 ,0.072345 ,0.083592 ,0.061682 ,0.061136 ,0.073035 ,0.066716 ,0.064964 ,0.057433
sub-33_task-rest,0.141621 ,0.065937 ,0.058256 ,0.056648 ,0.075173 ,0.047458 ,0.130610 ,0.065738 ,0.072906 ,0.043414 ,0.065581 ,0.072873 ,0.054566 ,0.056222 ,0.070867 ,0.102466 ,0.078710 ,0.038927
sub-34_task-rest,0.093737 ,0.080619 ,0.063963 ,0.081503 ,0.071806 ,0.061744 ,0.065706 ,0.065707 ,0.100174 ,0.047784 ,0.080041 ,0.072381 ,0.076168 ,0.052198 ,0.086336 ,0.058244 ,0.074009 ,0.042869
sub-35_task-rest,0.064175 ,0.057902 ,0.053939 ,0.045999 ,0.054596 ,0.062677 ,0.067691 ,0.052505 ,0.061884 ,0.046903 ,0.078326 ,0.074237 ,0.060894 ,0.041171 ,0.062423 ,0.060643 ,0.073878 ,0.039626
sub-36_task-rest,0.080970 ,0.074001 ,0.069001 ,0.065295 ,0.075484 ,0.069806 ,0.080363 ,0.054597 ,0.083344 ,0.061234 ,0.090250 ,0.086197 ,0.065128 ,0.055437 ,0.070234 ,0.066150 ,0.075746 ,0.040845
sub-37_task-rest,0.081882 ,0.091879 ,0.076768 ,0.075451 ,0.095101 ,0.076477 ,0.066489 ,0.074855 ,0.086333 ,0.056525 ,0.077849 ,0.078079 ,0.072813 ,0.058838 ,0.097579 ,0.085236 ,0.072421 ,0.080769
sub-38_task-rest,0.104898 ,0.079221 ,0.072313 ,0.066024 ,0.082783 ,0.083807 ,0.116467 ,0.076026 ,0.091163 ,0.067910 ,0.090830 ,0.111644 ,0.066418 ,0.056519 ,0.098313 ,0.080503 ,0.091803 ,0.042958
sub-39_task-rest,0.102572 ,0.081056 ,0.064519 ,0.080899 ,0.074352 ,0.068453 ,0.104008 ,0.080570 ,0.084319 ,0.051145 ,0.079428 ,0.103646 ,0.066593 ,0.046091 ,0.066466 ,0.079985 ,0.068620 ,0.051821
sub-40_task-rest,0.127781 ,0.082361 ,0.070583 ,0.061144 ,0.091644 ,0.073170 ,0.122176 ,0.082518 ,0.081236 ,0.065954 ,0.095737 ,0.126308 ,0.067550 ,0.059479 ,0.098040 ,0.095800 ,0.082068 ,0.061367
sub-41_task-rest,0.103808 ,0.109148 ,0.117940 ,0.090987 ,0.087125 ,0.092487 ,0.094849 ,0.104505 ,0.103557 ,0.094941 ,0.124995 ,0.136743 ,0.105165 ,0.069508 ,0.108746 ,0.114780 ,0.126888 ,0.067511
sub-42_task-rest,0.111723 ,0.215930 ,0.125770 ,0.113179 ,0.123820 ,0.099543 ,0.097430 ,0.078145 ,0.194666 ,0.085829 ,0.141297 ,0.120973 ,0.108476 ,0.083743 ,0.157058 ,0.090534 ,0.127001 ,0.080125
sub-43_task-rest,0.122837 ,0.101834 ,0.110883 ,0.127267 ,0.108981 ,0.105621 ,0.215291 ,0.150645 ,0.114377 ,0.113661 ,0.166952 ,0.227033 ,0.086310 ,0.073341 ,0.119432 ,0.090225 ,0.153273 ,0.061537
sub-44_task-rest,0.088212 ,0.093818 ,0.071389 ,0.066175 ,0.075313 ,0.073783 ,0.077480 ,0.084147 ,0.077509 ,0.054774 ,0.098567 ,0.140900 ,0.063100 ,0.040124 ,0.062377 ,0.081510 ,0.064129 ,0.069940
