subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-0100100_ses-1,0.080495 ,0.098474 ,0.114468 ,0.075640 ,0.062307 ,0.054010 ,0.046308 ,0.074807 ,0.073279 ,0.038724 ,0.076055 ,0.073271 ,0.047264 ,0.041018 ,0.061271 ,0.074997 ,0.044077 ,0.048933
sub-0100101_ses-1,0.124921 ,0.118759 ,0.141769 ,0.089887 ,0.063125 ,0.070274 ,0.058579 ,0.059824 ,0.097931 ,0.056971 ,0.118733 ,0.076449 ,0.050775 ,0.040541 ,0.054388 ,0.071685 ,0.076146 ,0.054609
sub-0100102_ses-1,0.078614 ,0.109265 ,0.121399 ,0.081270 ,0.069492 ,0.070683 ,0.059093 ,0.067771 ,0.103806 ,0.069914 ,0.105347 ,0.111538 ,0.055667 ,0.040283 ,0.082954 ,0.085356 ,0.067969 ,0.049316
sub-0100103_ses-1,0.085199 ,0.162053 ,0.140070 ,0.079652 ,0.093249 ,0.069337 ,0.062055 ,0.054130 ,0.107579 ,0.052930 ,0.090121 ,0.062174 ,0.049908 ,0.040879 ,0.046181 ,0.073097 ,0.047932 ,0.061054
sub-0100200_ses-1,0.444197 ,0.218354 ,0.361291 ,0.189678 ,0.159223 ,0.156644 ,0.221429 ,0.361740 ,0.252028 ,0.113044 ,0.307416 ,0.366787 ,0.165517 ,0.115571 ,0.187124 ,0.186063 ,0.187952 ,0.196527
sub-0100201_ses-1,0.437696 ,0.338220 ,0.267641 ,0.171042 ,0.149254 ,0.173963 ,0.233282 ,0.374607 ,0.281700 ,0.167406 ,0.185701 ,0.298344 ,0.133148 ,0.110813 ,0.201679 ,0.193444 ,0.149668 ,0.242229
sub-0100202_ses-1,0.347199 ,0.206202 ,0.307294 ,0.165641 ,0.149469 ,0.245927 ,0.226676 ,0.320406 ,0.287945 ,0.136167 ,0.370843 ,0.287522 ,0.200587 ,0.121968 ,0.230480 ,0.218468 ,0.244087 ,0.493313
sub-0100203_ses-1,2.801606 ,0.893086 ,0.650329 ,0.510263 ,0.810870 ,0.392631 ,0.720231 ,0.687995 ,2.127921 ,0.498856 ,0.337080 ,1.051962 ,0.279853 ,0.372232 ,0.649383 ,0.495720 ,0.396846 ,1.725064
sub-0100204_ses-1,0.311444 ,0.208569 ,0.309312 ,0.337581 ,0.245963 ,0.362305 ,0.502234 ,0.461785 ,0.282127 ,0.352928 ,0.439351 ,0.736352 ,0.242483 ,0.158275 ,0.234349 ,0.187671 ,0.367328 ,0.193294
sub-0100205_ses-1,0.601149 ,0.340847 ,0.330999 ,0.496601 ,0.225443 ,0.455146 ,0.506493 ,0.525366 ,0.346362 ,0.366038 ,0.609183 ,0.463177 ,0.228217 ,0.137737 ,0.185426 ,0.202345 ,0.504673 ,0.498509
sub-0100206_ses-1,2.072949 ,0.623816 ,0.525443 ,0.334172 ,0.773444 ,0.291288 ,0.420212 ,0.415776 ,1.761378 ,0.306175 ,0.301740 ,0.578620 ,0.275455 ,0.213571 ,0.505148 ,0.348355 ,0.119027 ,1.196193
sub-0100207_ses-1,0.476855 ,0.287777 ,0.267542 ,0.231068 ,0.241801 ,0.204164 ,0.542581 ,0.372519 ,0.375975 ,0.208485 ,0.629887 ,0.856209 ,0.201210 ,0.155916 ,0.327105 ,0.167667 ,0.363745 ,0.277941
sub-0100301_ses-1,0.208824 ,0.100832 ,0.179752 ,0.079713 ,0.074807 ,0.063927 ,0.071899 ,0.097420 ,0.117149 ,0.062956 ,0.105086 ,0.090247 ,0.083810 ,0.105312 ,0.111512 ,0.115424 ,0.096238 ,0.118966
sub-0100302_ses-1,0.160445 ,0.080035 ,0.121838 ,0.068801 ,0.081628 ,0.077841 ,0.071936 ,0.108693 ,0.134225 ,0.047276 ,0.115132 ,0.143272 ,0.079298 ,0.076856 ,0.082956 ,0.153694 ,0.080169 ,0.091515
sub-0100303_ses-1,0.167037 ,0.113704 ,0.138696 ,0.088070 ,0.099897 ,0.074165 ,0.079442 ,0.086857 ,0.090960 ,0.054938 ,0.098238 ,0.123856 ,0.063880 ,0.091068 ,0.077537 ,0.128731 ,0.081865 ,0.094667
sub-0100304_ses-1,0.241301 ,0.119916 ,0.123578 ,0.086748 ,0.065700 ,0.065717 ,0.094124 ,0.104713 ,0.099404 ,0.062599 ,0.129376 ,0.095680 ,0.066602 ,0.097708 ,0.081307 ,0.163111 ,0.097171 ,0.098872
sub-0100305_ses-1,0.218011 ,0.095672 ,0.128367 ,0.090670 ,0.079887 ,0.072676 ,0.066171 ,0.088026 ,0.104192 ,0.066340 ,0.122019 ,0.103425 ,0.137760 ,0.110617 ,0.153698 ,0.149019 ,0.087768 ,0.074175
sub-0100306_ses-1,0.209957 ,0.091828 ,0.125665 ,0.101418 ,0.119408 ,0.073359 ,0.102257 ,0.131760 ,0.100463 ,0.070231 ,0.137471 ,0.141743 ,0.079095 ,0.086759 ,0.101727 ,0.173184 ,0.095696 ,0.071497
sub-0100307_ses-1,0.200786 ,0.094838 ,0.104531 ,0.081268 ,0.085010 ,0.082521 ,0.102795 ,0.112178 ,0.111867 ,0.059143 ,0.171411 ,0.126439 ,0.104573 ,0.077368 ,0.105177 ,0.139349 ,0.107944 ,0.086659
sub-0100308_ses-1,0.114111 ,0.090842 ,0.101485 ,0.078727 ,0.092762 ,0.078169 ,0.118301 ,0.106626 ,0.118893 ,0.071790 ,0.202944 ,0.117228 ,0.086861 ,0.066709 ,0.116798 ,0.095263 ,0.137933 ,0.086521
sub-0100309_ses-1,0.137364 ,0.095917 ,0.108515 ,0.082271 ,0.077038 ,0.077869 ,0.109378 ,0.100844 ,0.086264 ,0.050050 ,0.115045 ,0.130666 ,0.077699 ,0.071653 ,0.081324 ,0.108443 ,0.080793 ,0.056641
sub-0100310_ses-1,0.270758 ,0.119451 ,0.110687 ,0.117355 ,0.098988 ,0.083682 ,0.113950 ,0.129959 ,0.103845 ,0.077253 ,0.142222 ,0.118159 ,0.112839 ,0.109411 ,0.113899 ,0.126517 ,0.161700 ,0.069548
sub-0100311_ses-1,0.156725 ,0.075351 ,0.124719 ,0.069865 ,0.080242 ,0.061308 ,0.096529 ,0.096317 ,0.112265 ,0.082695 ,0.102278 ,0.119811 ,0.082349 ,0.089839 ,0.086803 ,0.125119 ,0.077637 ,0.096003
sub-0100400_ses-1,0.149280 ,0.144981 ,0.127521 ,0.142182 ,0.115581 ,0.156425 ,0.207417 ,0.425847 ,0.161325 ,0.104405 ,0.189151 ,0.366768 ,0.164903 ,0.088423 ,0.216826 ,0.217073 ,0.318026 ,0.106629
sub-0100400_ses-2,0.195026 ,0.152115 ,0.190225 ,0.109387 ,0.120267 ,0.136643 ,0.246095 ,0.205693 ,0.137448 ,0.101304 ,0.204914 ,0.354598 ,0.082920 ,0.098907 ,0.173190 ,0.139379 ,0.195859 ,0.121972
sub-0100400_ses-2,0.129834 ,0.134848 ,0.187581 ,0.220296 ,0.090643 ,0.170738 ,0.251383 ,0.254655 ,0.161325 ,0.150211 ,0.177620 ,0.229479 ,0.125887 ,0.097686 ,0.178232 ,0.086292 ,0.204825 ,0.131738
sub-0100400_ses-2,0.164207 ,0.158807 ,0.111899 ,0.132014 ,0.116843 ,0.123691 ,0.157279 ,0.172771 ,0.169665 ,0.139722 ,0.198352 ,0.222565 ,0.095605 ,0.099144 ,0.133268 ,0.114200 ,0.187517 ,0.143029
sub-0100401_ses-1,0.313532 ,0.180437 ,0.139415 ,0.237282 ,0.194909 ,0.169877 ,0.480877 ,0.322286 ,0.139995 ,0.101061 ,0.303303 ,0.318619 ,0.174479 ,0.128340 ,0.176623 ,0.176605 ,0.290592 ,0.115884
sub-0100401_ses-2,0.247174 ,0.173528 ,0.197358 ,0.243008 ,0.151271 ,0.199244 ,0.351760 ,0.406101 ,0.144006 ,0.120904 ,0.307984 ,0.489106 ,0.119456 ,0.159021 ,0.169117 ,0.154113 ,0.197445 ,0.168129
sub-0100401_ses-2,0.177664 ,0.208475 ,0.166173 ,0.199282 ,0.108116 ,0.134863 ,0.204951 ,0.299818 ,0.203341 ,0.114660 ,0.228424 ,0.501617 ,0.121237 ,0.092979 ,0.196022 ,0.165427 ,0.197368 ,0.080296
sub-0100401_ses-2,0.199491 ,0.151921 ,0.178969 ,0.114748 ,0.126816 ,0.110846 ,0.202113 ,0.309314 ,0.160666 ,0.076503 ,0.231980 ,0.414694 ,0.096076 ,0.108314 ,0.137428 ,0.147563 ,0.199841 ,0.141280
sub-0100402_ses-1,0.095690 ,0.092242 ,0.119764 ,0.097825 ,0.108171 ,0.091296 ,0.198336 ,0.215969 ,0.136228 ,0.108915 ,0.285188 ,0.373890 ,0.086447 ,0.068358 ,0.155703 ,0.126013 ,0.194423 ,0.074990
sub-0100402_ses-2,0.185461 ,0.148857 ,0.152043 ,0.134407 ,0.117242 ,0.129281 ,0.240070 ,0.352192 ,0.176180 ,0.091103 ,0.173012 ,0.497267 ,0.151377 ,0.138721 ,0.239864 ,0.218938 ,0.357181 ,0.119595
sub-0100402_ses-2,0.123187 ,0.130271 ,0.153649 ,0.127709 ,0.115526 ,0.100181 ,0.243777 ,0.153667 ,0.175681 ,0.066718 ,0.174502 ,0.330008 ,0.101639 ,0.076941 ,0.150395 ,0.240931 ,0.358274 ,0.121585
sub-0100402_ses-2,0.152230 ,0.124558 ,0.124909 ,0.096723 ,0.149020 ,0.125153 ,0.246333 ,0.310784 ,0.130456 ,0.084634 ,0.131429 ,0.382165 ,0.090017 ,0.105424 ,0.145068 ,0.184099 ,0.209816 ,0.118894
sub-0100403_ses-1,0.215067 ,0.165185 ,0.143708 ,0.135489 ,0.103882 ,0.114883 ,0.174941 ,0.170910 ,0.191338 ,0.070631 ,0.211647 ,0.259020 ,0.116041 ,0.088272 ,0.175930 ,0.117395 ,0.207479 ,0.111758
sub-0100403_ses-1,0.121551 ,0.154174 ,0.120758 ,0.128917 ,0.077187 ,0.078829 ,0.179307 ,0.168681 ,0.161678 ,0.087355 ,0.141994 ,0.229449 ,0.105846 ,0.115602 ,0.137795 ,0.102220 ,0.193953 ,0.112567
sub-0100403_ses-2,0.179318 ,0.140086 ,0.122982 ,0.187714 ,0.116632 ,0.150452 ,0.273264 ,0.355810 ,0.211056 ,0.135747 ,0.168637 ,0.280060 ,0.120532 ,0.075230 ,0.238560 ,0.079830 ,0.261530 ,0.131223
sub-0100403_ses-2,0.170366 ,0.140502 ,0.129336 ,0.162673 ,0.100507 ,0.123343 ,0.211796 ,0.241802 ,0.209844 ,0.102919 ,0.161305 ,0.251636 ,0.133607 ,0.097642 ,0.179608 ,0.158049 ,0.322334 ,0.108182
sub-0100403_ses-2,0.186716 ,0.134015 ,0.132725 ,0.198492 ,0.117810 ,0.202705 ,0.330516 ,0.407120 ,0.264870 ,0.106684 ,0.211563 ,0.387518 ,0.135254 ,0.126914 ,0.191414 ,0.163368 ,0.281772 ,0.202841
sub-0100404_ses-1,0.171087 ,0.155799 ,0.126949 ,0.181795 ,0.132655 ,0.139479 ,0.325114 ,0.163043 ,0.135522 ,0.118704 ,0.214223 ,0.208540 ,0.094155 ,0.106906 ,0.168397 ,0.135997 ,0.185224 ,0.095755
sub-0100404_ses-2,0.213743 ,0.167434 ,0.161474 ,0.142686 ,0.137633 ,0.129180 ,0.259981 ,0.225494 ,0.212021 ,0.108054 ,0.175032 ,0.289123 ,0.152337 ,0.085020 ,0.222676 ,0.211688 ,0.387024 ,0.169786
sub-0100404_ses-2,0.213708 ,0.151132 ,0.160467 ,0.213387 ,0.180254 ,0.154117 ,0.311174 ,0.419941 ,0.175658 ,0.081309 ,0.296715 ,0.260123 ,0.162906 ,0.110234 ,0.298157 ,0.237435 ,0.327659 ,0.144042
sub-0100404_ses-2,0.159801 ,0.134359 ,0.130716 ,0.132592 ,0.125560 ,0.131919 ,0.233405 ,0.264674 ,0.137309 ,0.110687 ,0.168605 ,0.251910 ,0.135700 ,0.079210 ,0.163219 ,0.145883 ,0.264874 ,0.110669
sub-0100500_ses-2,0.345674 ,0.341008 ,0.305203 ,0.184422 ,0.177306 ,0.168336 ,0.213048 ,0.314649 ,0.314032 ,0.229564 ,0.420021 ,0.326245 ,0.309728 ,0.173405 ,0.543164 ,0.266957 ,0.226543 ,0.177426
sub-0100500_ses-5,0.157215 ,0.107270 ,0.114241 ,0.095400 ,0.077867 ,0.126208 ,0.080304 ,0.086498 ,0.164198 ,0.096477 ,0.127720 ,0.108933 ,0.096713 ,0.099664 ,0.144950 ,0.073054 ,0.096507 ,0.035176
sub-0100501_ses-1,0.091256 ,0.167069 ,0.221684 ,0.090163 ,0.107953 ,0.116615 ,0.076109 ,0.072585 ,0.120179 ,0.081081 ,0.107262 ,0.108091 ,0.094575 ,0.062889 ,0.103145 ,0.071864 ,0.099741 ,0.088020
sub-0100501_ses-1,0.097565 ,0.155952 ,0.213517 ,0.095654 ,0.096173 ,0.118841 ,0.088326 ,0.078501 ,0.121892 ,0.085985 ,0.122070 ,0.116396 ,0.102822 ,0.064806 ,0.096502 ,0.078672 ,0.101197 ,0.091946
sub-0100501_ses-1,0.090778 ,0.156171 ,0.210350 ,0.097579 ,0.087275 ,0.120996 ,0.091173 ,0.087793 ,0.112319 ,0.084917 ,0.122316 ,0.114449 ,0.104101 ,0.064685 ,0.096983 ,0.065433 ,0.111650 ,0.094387
sub-0100501_ses-1,0.110483 ,0.148771 ,0.217911 ,0.104003 ,0.092942 ,0.122724 ,0.085730 ,0.096547 ,0.129206 ,0.078034 ,0.107466 ,0.107999 ,0.105807 ,0.077613 ,0.097943 ,0.085586 ,0.135343 ,0.103589
sub-0100501_ses-1,0.094460 ,0.146929 ,0.173067 ,0.086997 ,0.082181 ,0.120572 ,0.079936 ,0.090351 ,0.116475 ,0.068432 ,0.110348 ,0.107428 ,0.109492 ,0.059866 ,0.090622 ,0.070309 ,0.097659 ,0.090469
sub-0100501_ses-1,0.090940 ,0.136624 ,0.198281 ,0.091412 ,0.080590 ,0.126223 ,0.091273 ,0.071824 ,0.109289 ,0.077003 ,0.112880 ,0.100672 ,0.094077 ,0.065907 ,0.091270 ,0.067971 ,0.108392 ,0.084232
