subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-jgrADc3NT2_ses-1,0.034176 ,0.028537 ,0.020529 ,0.028063 ,0.022301 ,0.028370 ,0.026070 ,0.017483 ,0.024060 ,0.027137 ,0.031536 ,0.022758 ,0.022596 ,0.019597 ,0.026202 ,0.019869 ,0.039633 ,0.013966
sub-jgrADc41L_ses-1,0.075112 ,0.082204 ,0.105974 ,0.073857 ,0.047173 ,0.047234 ,0.083780 ,0.055192 ,0.072260 ,0.056696 ,0.051011 ,0.049006 ,0.045647 ,0.052205 ,0.067123 ,0.051313 ,0.045848 ,0.037689
sub-jgrADc41L_ses-2,0.073799 ,0.059524 ,0.059568 ,0.061030 ,0.039751 ,0.045718 ,0.064371 ,0.071061 ,0.054082 ,0.039399 ,0.040905 ,0.054531 ,0.058099 ,0.049208 ,0.050704 ,0.032335 ,0.039005 ,0.035732
sub-jgrADc41R_ses-1,0.074200 ,0.088724 ,0.088600 ,0.057482 ,0.039827 ,0.047728 ,0.054884 ,0.057841 ,0.061516 ,0.043597 ,0.046683 ,0.045346 ,0.057442 ,0.067564 ,0.054424 ,0.049527 ,0.036896 ,0.038081
sub-jgrADc41R_ses-2,0.082977 ,0.065227 ,0.063021 ,0.066548 ,0.046082 ,0.042792 ,0.057278 ,0.058982 ,0.065395 ,0.046450 ,0.059343 ,0.058867 ,0.041382 ,0.047786 ,0.046065 ,0.052247 ,0.037485 ,0.039366
sub-jgrADc42L_ses-1,0.075878 ,0.099489 ,0.078813 ,0.057242 ,0.038114 ,0.056507 ,0.071091 ,0.065896 ,0.071864 ,0.058958 ,0.050504 ,0.044173 ,0.052520 ,0.054383 ,0.057152 ,0.036514 ,0.034251 ,0.037918
sub-jgrADc42L_ses-2,0.089022 ,0.062669 ,0.061218 ,0.057990 ,0.043772 ,0.047520 ,0.074711 ,0.097802 ,0.073710 ,0.046465 ,0.050759 ,0.058955 ,0.065573 ,0.060837 ,0.067060 ,0.047463 ,0.041904 ,0.044368
sub-jgrADc42R_ses-1,0.074061 ,0.091413 ,0.084187 ,0.066230 ,0.054433 ,0.064879 ,0.069087 ,0.079950 ,0.055903 ,0.049463 ,0.061848 ,0.054653 ,0.057613 ,0.051233 ,0.057393 ,0.043200 ,0.037609 ,0.036889
sub-jgrADc42R_ses-2,0.076771 ,0.063496 ,0.055432 ,0.055524 ,0.046703 ,0.051184 ,0.070503 ,0.082038 ,0.062598 ,0.049752 ,0.053013 ,0.055063 ,0.058234 ,0.039854 ,0.055133 ,0.040780 ,0.042300 ,0.036228
sub-jgrADc4NT_ses-1,0.092556 ,0.116671 ,0.127022 ,0.078572 ,0.046199 ,0.063236 ,0.073770 ,0.098727 ,0.079203 ,0.057224 ,0.050238 ,0.059201 ,0.068254 ,0.076106 ,0.076497 ,0.064260 ,0.040578 ,0.038076
