subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-C01S015_ses-1,0.059303 ,0.126982 ,0.182376 ,0.067614 ,0.068470 ,0.084221 ,0.039541 ,0.044694 ,0.059300 ,0.032734 ,0.072452 ,0.056298 ,0.073794 ,0.059695 ,0.064609 ,0.039390 ,0.048692 ,0.031498
sub-C01S016_ses-1,0.042485 ,0.046308 ,0.039812 ,0.036842 ,0.040826 ,0.034964 ,0.031612 ,0.030278 ,0.056334 ,0.034067 ,0.061904 ,0.051637 ,0.048112 ,0.024104 ,0.039128 ,0.030549 ,0.049747 ,0.043508
sub-C01S017_ses-1,0.037690 ,0.032581 ,0.036939 ,0.031940 ,0.030652 ,0.026600 ,0.025345 ,0.028211 ,0.039345 ,0.029385 ,0.045151 ,0.052660 ,0.030229 ,0.021918 ,0.035709 ,0.030180 ,0.046475 ,0.033801
sub-C01S018_ses-1,0.046037 ,0.083725 ,0.139010 ,0.051804 ,0.063414 ,0.059916 ,0.034109 ,0.037969 ,0.043918 ,0.031003 ,0.081554 ,0.038617 ,0.047072 ,0.046834 ,0.049413 ,0.033194 ,0.042657 ,0.037528
sub-C01S019_ses-1,0.041042 ,0.039124 ,0.050585 ,0.022933 ,0.031429 ,0.034660 ,0.032373 ,0.026856 ,0.035006 ,0.028707 ,0.053258 ,0.053861 ,0.034285 ,0.027704 ,0.040565 ,0.027555 ,0.039037 ,0.024848
sub-C02S006_ses-1,0.073730 ,0.109021 ,0.179946 ,0.075260 ,0.085670 ,0.079395 ,0.076023 ,0.062806 ,0.090473 ,0.046134 ,0.088864 ,0.063320 ,0.065374 ,0.055497 ,0.067353 ,0.042633 ,0.069666 ,0.044365
sub-C02S007_ses-1,0.059452 ,0.140847 ,0.172666 ,0.062105 ,0.084685 ,0.095578 ,0.045327 ,0.042927 ,0.058532 ,0.030649 ,0.083069 ,0.039757 ,0.064560 ,0.057969 ,0.060426 ,0.033944 ,0.060954 ,0.040027
sub-C02S008_ses-1,0.076941 ,0.079646 ,0.063047 ,0.055603 ,0.059033 ,0.072456 ,0.035621 ,0.061711 ,0.084349 ,0.066924 ,0.084616 ,0.108270 ,0.062091 ,0.038360 ,0.074323 ,0.054505 ,0.083388 ,0.054766
sub-C02S009_ses-1,0.049969 ,0.037284 ,0.040036 ,0.044705 ,0.034630 ,0.037153 ,0.026442 ,0.032058 ,0.040306 ,0.034268 ,0.043633 ,0.070384 ,0.029039 ,0.024430 ,0.054106 ,0.041220 ,0.043847 ,0.025026
sub-C02S010_ses-1,0.065861 ,0.067582 ,0.078962 ,0.048326 ,0.053316 ,0.049301 ,0.033795 ,0.052905 ,0.087453 ,0.045232 ,0.071668 ,0.072834 ,0.036611 ,0.026226 ,0.066297 ,0.054089 ,0.058336 ,0.052337
sub-C03S020_ses-1,0.053315 ,0.055019 ,0.064803 ,0.054563 ,0.040899 ,0.049002 ,0.041831 ,0.045585 ,0.049972 ,0.034558 ,0.053423 ,0.062541 ,0.040147 ,0.028718 ,0.054200 ,0.045706 ,0.064666 ,0.038579
sub-C03S021_ses-1,0.053745 ,0.056579 ,0.099898 ,0.043649 ,0.048163 ,0.059265 ,0.037919 ,0.039203 ,0.055025 ,0.036845 ,0.074250 ,0.054884 ,0.065993 ,0.040733 ,0.057369 ,0.040722 ,0.058906 ,0.034534
sub-C03S022_ses-1,0.067400 ,0.102791 ,0.131412 ,0.083929 ,0.102735 ,0.123779 ,0.049261 ,0.073501 ,0.108314 ,0.043318 ,0.072191 ,0.073161 ,0.080607 ,0.045388 ,0.045327 ,0.050236 ,0.060159 ,0.045680
sub-C03S023_ses-1,0.053403 ,0.098386 ,0.169755 ,0.065962 ,0.068630 ,0.099799 ,0.031260 ,0.054310 ,0.054634 ,0.037595 ,0.074923 ,0.070817 ,0.063581 ,0.048008 ,0.056824 ,0.039455 ,0.069542 ,0.035979
sub-C03S024_ses-1,0.049366 ,0.066085 ,0.093587 ,0.046371 ,0.039950 ,0.055859 ,0.033007 ,0.037399 ,0.052168 ,0.034691 ,0.041067 ,0.046897 ,0.054559 ,0.033672 ,0.056242 ,0.026032 ,0.043742 ,0.036864
sub-C04S025_ses-1,0.041192 ,0.038176 ,0.037386 ,0.035463 ,0.033890 ,0.032774 ,0.043447 ,0.033106 ,0.044984 ,0.023976 ,0.044373 ,0.069051 ,0.036937 ,0.028537 ,0.043687 ,0.038939 ,0.049409 ,0.038217
sub-C04S026_ses-1,0.049078 ,0.096670 ,0.142253 ,0.044820 ,0.052205 ,0.046232 ,0.036214 ,0.032238 ,0.040570 ,0.030663 ,0.052028 ,0.048717 ,0.043238 ,0.040630 ,0.047254 ,0.033376 ,0.041908 ,0.027387
sub-C04S027_ses-1,0.063324 ,0.132981 ,0.148562 ,0.053597 ,0.053396 ,0.077242 ,0.039412 ,0.033356 ,0.063061 ,0.041795 ,0.060072 ,0.056482 ,0.063165 ,0.047586 ,0.053522 ,0.039125 ,0.049385 ,0.032193
sub-C04S028_ses-1,0.047782 ,0.090337 ,0.101794 ,0.058251 ,0.067090 ,0.091543 ,0.043409 ,0.048456 ,0.076086 ,0.042311 ,0.072585 ,0.066269 ,0.077712 ,0.049873 ,0.061886 ,0.046342 ,0.061074 ,0.032813
sub-C04S029_ses-1,0.073399 ,0.104848 ,0.061909 ,0.050860 ,0.077850 ,0.060085 ,0.059777 ,0.043002 ,0.065650 ,0.052802 ,0.102018 ,0.053319 ,0.060283 ,0.038714 ,0.031694 ,0.033934 ,0.103898 ,0.037889
sub-C05S030_ses-1,0.034331 ,0.066924 ,0.055988 ,0.047496 ,0.038751 ,0.045595 ,0.043272 ,0.050250 ,0.046900 ,0.046991 ,0.055990 ,0.085153 ,0.037997 ,0.026245 ,0.034640 ,0.034243 ,0.049331 ,0.033238
sub-C05S031_ses-1,0.041962 ,0.043381 ,0.061466 ,0.046239 ,0.051611 ,0.040923 ,0.037895 ,0.037326 ,0.053896 ,0.036901 ,0.077297 ,0.058245 ,0.030564 ,0.021776 ,0.034434 ,0.030230 ,0.050417 ,0.023903
sub-C05S032_ses-1,0.034939 ,0.046495 ,0.034902 ,0.033715 ,0.035600 ,0.032042 ,0.046181 ,0.027571 ,0.058435 ,0.030796 ,0.056542 ,0.039306 ,0.044142 ,0.024055 ,0.039276 ,0.030697 ,0.042726 ,0.024592
sub-C06S033_ses-1,0.054944 ,0.069015 ,0.077212 ,0.037712 ,0.037153 ,0.042615 ,0.039389 ,0.033203 ,0.072941 ,0.046614 ,0.059220 ,0.058113 ,0.051773 ,0.032874 ,0.043873 ,0.029934 ,0.042706 ,0.035657
sub-C06S034_ses-1,0.053327 ,0.050437 ,0.048697 ,0.035157 ,0.044199 ,0.062161 ,0.032236 ,0.037239 ,0.049336 ,0.033288 ,0.050400 ,0.069188 ,0.033257 ,0.032454 ,0.049191 ,0.026702 ,0.047368 ,0.050310
sub-C06S035_ses-1,0.047249 ,0.043480 ,0.039090 ,0.040203 ,0.029995 ,0.036157 ,0.030387 ,0.031213 ,0.045215 ,0.028045 ,0.044050 ,0.051542 ,0.030308 ,0.032055 ,0.046778 ,0.031271 ,0.043598 ,0.033750
sub-C06S036_ses-1,0.054110 ,0.042013 ,0.051544 ,0.029429 ,0.031677 ,0.040482 ,0.025656 ,0.027175 ,0.049956 ,0.030738 ,0.052984 ,0.053067 ,0.029144 ,0.026740 ,0.042545 ,0.033955 ,0.041507 ,0.039473
sub-C07S037_ses-1,0.062915 ,0.064130 ,0.075392 ,0.053165 ,0.040203 ,0.051384 ,0.038415 ,0.044926 ,0.086986 ,0.045111 ,0.070798 ,0.059854 ,0.046472 ,0.034513 ,0.058107 ,0.028971 ,0.054388 ,0.039844
sub-C07S038_ses-1,0.106322 ,0.095992 ,0.150818 ,0.066244 ,0.054157 ,0.054341 ,0.060798 ,0.104046 ,0.156867 ,0.044333 ,0.101777 ,0.062887 ,0.067886 ,0.035917 ,0.087323 ,0.049175 ,0.090430 ,0.092828
sub-C07S039_ses-1,0.061770 ,0.052100 ,0.080408 ,0.046123 ,0.039402 ,0.045555 ,0.041837 ,0.042479 ,0.051636 ,0.041820 ,0.054990 ,0.071986 ,0.050278 ,0.028019 ,0.043905 ,0.037152 ,0.052324 ,0.032538
sub-C07S040_ses-1,0.052167 ,0.060209 ,0.052033 ,0.044015 ,0.034263 ,0.049276 ,0.037372 ,0.038748 ,0.081102 ,0.041479 ,0.062953 ,0.056233 ,0.052091 ,0.027975 ,0.039470 ,0.046050 ,0.051546 ,0.041213
sub-C08S011_ses-1,0.063765 ,0.068089 ,0.091575 ,0.042731 ,0.056240 ,0.047369 ,0.033991 ,0.052321 ,0.069911 ,0.041855 ,0.055960 ,0.055495 ,0.046840 ,0.038741 ,0.049042 ,0.036763 ,0.046356 ,0.030027
sub-C08S012_ses-1,0.051076 ,0.045217 ,0.049053 ,0.031288 ,0.027728 ,0.039613 ,0.029592 ,0.025914 ,0.043583 ,0.027817 ,0.053556 ,0.060746 ,0.032843 ,0.020808 ,0.043460 ,0.027539 ,0.049350 ,0.029803
sub-C08S013_ses-1,0.089507 ,0.049973 ,0.092132 ,0.068253 ,0.040037 ,0.081248 ,0.042986 ,0.043672 ,0.076050 ,0.069597 ,0.087265 ,0.098233 ,0.050225 ,0.030175 ,0.045688 ,0.047118 ,0.058999 ,0.051540
sub-C08S014_ses-1,0.055294 ,0.092633 ,0.137610 ,0.061193 ,0.059984 ,0.068524 ,0.033310 ,0.036692 ,0.050122 ,0.038429 ,0.048582 ,0.051061 ,0.054070 ,0.039669 ,0.058338 ,0.036670 ,0.040087 ,0.034797
sub-C09S001_ses-1,0.040318 ,0.058488 ,0.075917 ,0.039948 ,0.035355 ,0.040920 ,0.030500 ,0.035296 ,0.039428 ,0.028094 ,0.047181 ,0.043957 ,0.030499 ,0.024029 ,0.032690 ,0.028688 ,0.050142 ,0.027952
sub-C09S002_ses-1,0.066169 ,0.063510 ,0.061840 ,0.053170 ,0.043964 ,0.044746 ,0.067240 ,0.045348 ,0.070182 ,0.048650 ,0.062075 ,0.090657 ,0.052034 ,0.029970 ,0.058927 ,0.054208 ,0.064884 ,0.047777
sub-C09S003_ses-1,0.068790 ,0.077791 ,0.125638 ,0.055151 ,0.062019 ,0.076341 ,0.043508 ,0.049673 ,0.071333 ,0.044955 ,0.080206 ,0.067949 ,0.050924 ,0.039298 ,0.048832 ,0.033489 ,0.078955 ,0.043630
sub-C09S004_ses-1,0.031818 ,0.041158 ,0.036943 ,0.030261 ,0.033196 ,0.036621 ,0.029423 ,0.028187 ,0.039076 ,0.029747 ,0.056957 ,0.044436 ,0.037397 ,0.026703 ,0.036274 ,0.028750 ,0.036846 ,0.024474
sub-C09S005_ses-1,0.059980 ,0.047967 ,0.056395 ,0.059422 ,0.035657 ,0.056431 ,0.062111 ,0.050527 ,0.058903 ,0.041961 ,0.058245 ,0.074558 ,0.048826 ,0.037219 ,0.043140 ,0.037959 ,0.058740 ,0.036845
sub-C10S041_ses-2,0.134257 ,0.247156 ,0.198437 ,0.133781 ,0.132804 ,0.103449 ,0.134597 ,0.062357 ,0.190089 ,0.104784 ,0.151148 ,0.132326 ,0.085230 ,0.080336 ,0.078939 ,0.064653 ,0.121953 ,0.077234
sub-C10S046_ses-2,0.186580 ,0.376940 ,0.321914 ,0.301128 ,0.236182 ,0.279239 ,0.346400 ,0.176551 ,0.222281 ,0.127077 ,0.274357 ,0.191394 ,0.093161 ,0.097050 ,0.158226 ,0.111407 ,0.191742 ,0.090400
