subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-MFC054_ses-1,0.036202 ,0.036481 ,0.044359 ,0.039668 ,0.032397 ,0.031085 ,0.047543 ,0.041372 ,0.042226 ,0.081251 ,0.058579 ,0.036835 ,0.032361 ,0.015511 ,0.048832 ,0.031590 ,0.050069 ,0.025308
sub-MFC055_ses-1,0.041925 ,0.039758 ,0.039890 ,0.042377 ,0.022394 ,0.025766 ,0.031514 ,0.031261 ,0.058575 ,0.017117 ,0.046134 ,0.032057 ,0.033018 ,0.029849 ,0.035396 ,0.032607 ,0.037690 ,0.038193
sub-MFC056_ses-1,0.033984 ,0.041916 ,0.026876 ,0.031459 ,0.025536 ,0.028899 ,0.022316 ,0.027691 ,0.031342 ,0.029220 ,0.055793 ,0.041116 ,0.033254 ,0.022812 ,0.033971 ,0.028044 ,0.033541 ,0.024863
sub-MFC057_ses-1,0.052597 ,0.047379 ,0.046780 ,0.044345 ,0.034852 ,0.034709 ,0.032592 ,0.036112 ,0.059525 ,0.050595 ,0.063263 ,0.060847 ,0.054706 ,0.049684 ,0.052726 ,0.042083 ,0.071639 ,0.050931
sub-MFC058_ses-1,0.040166 ,0.048330 ,0.036237 ,0.034351 ,0.028252 ,0.035357 ,0.064898 ,0.024988 ,0.056278 ,0.022294 ,0.049967 ,0.038433 ,0.037620 ,0.023596 ,0.045642 ,0.038756 ,0.039668 ,0.036593
sub-MFC059_ses-1,0.028431 ,0.038070 ,0.045092 ,0.049982 ,0.026760 ,0.026001 ,0.044467 ,0.027234 ,0.042690 ,0.064019 ,0.062158 ,0.041906 ,0.026835 ,0.025889 ,0.042469 ,0.027868 ,0.036149 ,0.030709
sub-MFC059_ses-2,0.074278 ,0.050070 ,0.035778 ,0.077184 ,0.040480 ,0.037415 ,0.077362 ,0.039687 ,0.052236 ,0.037562 ,0.051434 ,0.053114 ,0.034655 ,0.023691 ,0.045900 ,0.040505 ,0.053024 ,0.037674
sub-MFC060_ses-1,0.036528 ,0.036133 ,0.024529 ,0.042429 ,0.032698 ,0.026826 ,0.036449 ,0.028865 ,0.042856 ,0.023296 ,0.036958 ,0.026328 ,0.027065 ,0.018778 ,0.035507 ,0.020681 ,0.027280 ,0.029569
sub-MFC060_ses-2,0.042745 ,0.038783 ,0.024978 ,0.041315 ,0.034454 ,0.024223 ,0.045997 ,0.032871 ,0.041258 ,0.027216 ,0.041163 ,0.045462 ,0.030257 ,0.015728 ,0.032055 ,0.028417 ,0.038445 ,0.036245
sub-MFC061_ses-1,0.030273 ,0.032496 ,0.038332 ,0.038407 ,0.026301 ,0.035351 ,0.044033 ,0.033564 ,0.046362 ,0.032864 ,0.054520 ,0.033840 ,0.032382 ,0.025991 ,0.040124 ,0.038572 ,0.033219 ,0.039843
sub-MFC061_ses-2,0.029735 ,0.038871 ,0.034046 ,0.031623 ,0.033790 ,0.027794 ,0.063562 ,0.035814 ,0.044310 ,0.031369 ,0.047719 ,0.054484 ,0.034582 ,0.025908 ,0.036757 ,0.026930 ,0.043615 ,0.033134
sub-MFC062_ses-1,0.030525 ,0.034445 ,0.034707 ,0.030017 ,0.025184 ,0.025035 ,0.060823 ,0.025991 ,0.034917 ,0.025103 ,0.051116 ,0.028836 ,0.032298 ,0.023559 ,0.037473 ,0.028455 ,0.038600 ,0.033994
sub-MFC062_ses-2,0.057146 ,0.059921 ,0.047555 ,0.053348 ,0.040121 ,0.060885 ,0.063876 ,0.036062 ,0.069688 ,0.061686 ,0.081955 ,0.075335 ,0.044450 ,0.031442 ,0.024384 ,0.033563 ,0.047624 ,0.080749
