subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-399233_ses-1,0.048367 ,0.035959 ,0.046505 ,0.039544 ,0.030326 ,0.034694 ,0.062079 ,0.022591 ,0.055681 ,0.031650 ,0.053753 ,0.063966 ,0.043124 ,0.030904 ,0.048454 ,0.032057 ,0.066533 ,0.019638
sub-399235_ses-1,0.066762 ,0.110019 ,0.054858 ,0.044109 ,0.053218 ,0.046332 ,0.080345 ,0.054512 ,0.059571 ,0.045103 ,0.066527 ,0.073144 ,0.071995 ,0.035807 ,0.055252 ,0.048663 ,0.110840 ,0.039309
sub-399434_ses-1,0.039111 ,0.043000 ,0.029455 ,0.043424 ,0.028395 ,0.028503 ,0.026739 ,0.034838 ,0.047651 ,0.044485 ,0.072113 ,0.069475 ,0.029237 ,0.027147 ,0.040525 ,0.037254 ,0.042185 ,0.029264
sub-399455_ses-1,0.076378 ,0.055843 ,0.049550 ,0.045248 ,0.028824 ,0.065911 ,0.060485 ,0.052875 ,0.071789 ,0.043642 ,0.088867 ,0.079069 ,0.052256 ,0.041984 ,0.063029 ,0.046601 ,0.072714 ,0.041942
sub-399456_ses-1,0.042658 ,0.038593 ,0.054987 ,0.069388 ,0.052110 ,0.057079 ,0.063421 ,0.040697 ,0.052048 ,0.038173 ,0.088550 ,0.063568 ,0.042750 ,0.025068 ,0.060583 ,0.045727 ,0.051890 ,0.022087
sub-401593_ses-1,0.028825 ,0.037215 ,0.030212 ,0.031940 ,0.031101 ,0.031418 ,0.032983 ,0.031479 ,0.036343 ,0.028115 ,0.070182 ,0.039741 ,0.031119 ,0.020585 ,0.032180 ,0.029965 ,0.050222 ,0.022313
sub-401594_ses-1,0.049429 ,0.056914 ,0.042183 ,0.046765 ,0.034540 ,0.037826 ,0.059330 ,0.032857 ,0.039195 ,0.031944 ,0.073729 ,0.060665 ,0.048667 ,0.034801 ,0.044623 ,0.031726 ,0.046631 ,0.033340
sub-401627_ses-1,0.041170 ,0.049399 ,0.033229 ,0.047775 ,0.036797 ,0.039242 ,0.035327 ,0.035955 ,0.045647 ,0.028077 ,0.061166 ,0.051708 ,0.038994 ,0.022452 ,0.043573 ,0.043875 ,0.053957 ,0.040279
sub-401635_ses-1,0.048273 ,0.046162 ,0.043361 ,0.033111 ,0.030660 ,0.049805 ,0.039706 ,0.039077 ,0.113840 ,0.047381 ,0.064899 ,0.048039 ,0.048625 ,0.036939 ,0.042721 ,0.037459 ,0.051262 ,0.042345
sub-405017_ses-1,0.082282 ,0.078513 ,0.074558 ,0.069423 ,0.082738 ,0.061482 ,0.068984 ,0.058908 ,0.106101 ,0.048479 ,0.099587 ,0.097823 ,0.061254 ,0.055742 ,0.083273 ,0.060867 ,0.108920 ,0.054928
sub-405024_ses-1,0.056125 ,0.066842 ,0.050872 ,0.052109 ,0.046751 ,0.050914 ,0.052836 ,0.056197 ,0.091080 ,0.052644 ,0.078024 ,0.063550 ,0.056152 ,0.045955 ,0.051846 ,0.068314 ,0.065650 ,0.027286
sub-405034_ses-1,0.054416 ,0.064051 ,0.057467 ,0.051286 ,0.045440 ,0.046820 ,0.036486 ,0.044814 ,0.061767 ,0.054144 ,0.080942 ,0.053483 ,0.061687 ,0.032627 ,0.053726 ,0.053915 ,0.070618 ,0.032831
