subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-001_ses-1,0.047618 ,0.059571 ,0.083855 ,0.045091 ,0.029153 ,0.028136 ,0.042826 ,0.031863 ,0.045893 ,0.032517 ,0.039125 ,0.031675 ,0.034518 ,0.040511 ,0.054186 ,0.037611 ,0.042539 ,0.022722
sub-006_ses-1,0.062092 ,0.048005 ,0.058187 ,0.034316 ,0.034046 ,0.036271 ,0.035685 ,0.035113 ,0.038614 ,0.028703 ,0.043884 ,0.036428 ,0.032989 ,0.039100 ,0.057187 ,0.033150 ,0.050066 ,0.026407
sub-009_ses-1,0.047336 ,0.077566 ,0.106269 ,0.043307 ,0.045328 ,0.055701 ,0.044933 ,0.027688 ,0.043237 ,0.030335 ,0.048500 ,0.037429 ,0.041217 ,0.038337 ,0.054214 ,0.046894 ,0.060586 ,0.027416
sub-011_ses-1,0.038592 ,0.042822 ,0.044540 ,0.033732 ,0.034999 ,0.031239 ,0.029366 ,0.028602 ,0.037911 ,0.030147 ,0.036932 ,0.030554 ,0.031411 ,0.025262 ,0.044573 ,0.034043 ,0.044792 ,0.018279
sub-014_ses-1,0.040544 ,0.037023 ,0.034353 ,0.025887 ,0.029372 ,0.029399 ,0.033761 ,0.027512 ,0.035942 ,0.021665 ,0.039656 ,0.034383 ,0.028523 ,0.034046 ,0.045552 ,0.027493 ,0.038751 ,0.021938
sub-016_ses-1,0.058447 ,0.076287 ,0.096531 ,0.040012 ,0.034845 ,0.038928 ,0.043468 ,0.043556 ,0.045923 ,0.034443 ,0.044528 ,0.041942 ,0.041441 ,0.045992 ,0.057890 ,0.031294 ,0.047541 ,0.025346
sub-019_ses-1,0.043559 ,0.049454 ,0.051644 ,0.035991 ,0.031621 ,0.031394 ,0.037312 ,0.032690 ,0.041761 ,0.032837 ,0.044540 ,0.033883 ,0.035533 ,0.037386 ,0.045499 ,0.036105 ,0.046479 ,0.020263
sub-022_ses-1,0.070282 ,0.071747 ,0.085393 ,0.057336 ,0.037504 ,0.040236 ,0.051109 ,0.052531 ,0.070499 ,0.047446 ,0.045732 ,0.059354 ,0.042377 ,0.039000 ,0.072671 ,0.035513 ,0.059898 ,0.047358
sub-025_ses-1,0.070590 ,0.093936 ,0.121694 ,0.068317 ,0.052230 ,0.058947 ,0.066056 ,0.055841 ,0.080813 ,0.043730 ,0.054788 ,0.053752 ,0.049655 ,0.056362 ,0.075097 ,0.047275 ,0.050801 ,0.043977
sub-028_ses-1,0.073623 ,0.066096 ,0.088559 ,0.051889 ,0.048418 ,0.046351 ,0.059293 ,0.044332 ,0.069573 ,0.045082 ,0.056528 ,0.057499 ,0.048341 ,0.042281 ,0.064542 ,0.052217 ,0.059219 ,0.021174
sub-031_ses-1,0.063894 ,0.065979 ,0.080450 ,0.051551 ,0.048226 ,0.048904 ,0.061641 ,0.056864 ,0.067911 ,0.039381 ,0.046500 ,0.050919 ,0.051013 ,0.044141 ,0.064607 ,0.040568 ,0.054748 ,0.040593
sub-034_ses-1,0.057606 ,0.073072 ,0.111696 ,0.056874 ,0.046206 ,0.057029 ,0.057273 ,0.044272 ,0.072760 ,0.039991 ,0.051308 ,0.040952 ,0.043456 ,0.050656 ,0.072646 ,0.041851 ,0.058529 ,0.040971
sub-037_ses-1,0.071859 ,0.067282 ,0.078928 ,0.044573 ,0.039498 ,0.041076 ,0.045815 ,0.051072 ,0.069261 ,0.034574 ,0.050854 ,0.049048 ,0.052137 ,0.049213 ,0.063422 ,0.043007 ,0.059035 ,0.047811
sub-039_ses-1,0.074019 ,0.093954 ,0.119496 ,0.059750 ,0.041861 ,0.051901 ,0.074762 ,0.042497 ,0.080467 ,0.051990 ,0.058054 ,0.047592 ,0.054213 ,0.057402 ,0.087802 ,0.039823 ,0.062247 ,0.051926
sub-040_ses-1,0.077992 ,0.099424 ,0.137583 ,0.061079 ,0.045033 ,0.048533 ,0.066156 ,0.051437 ,0.075733 ,0.048652 ,0.059227 ,0.052722 ,0.047901 ,0.056532 ,0.069112 ,0.063460 ,0.054852 ,0.025286
